('11.08', 'KAB. ACEH UTARA'),
('ambo Aye', 'Meunasah Dayah'),
('ambo Aye', 'Seuneubok Pidie'),
('ambo Aye', 'Tanjong Menuang'),
('ambo Aye', 'Matang Teungoh-Teungoh'),
('ambo Aye', 'Lhok Reudeup'),
('ambo Aye', 'Lhok Merbo'),
('ambo Aye', 'Tanjong Ara'),
('ambo Aye', 'Alue Ie Mirah'),
('ambo Aye', 'Tanjong Punti'),
('ambo Aye', 'Bukit Alue Puteh'),
('ambo Aye', 'Buket Jrat Manyang'),
('ambo Aye', 'Matang Maneh'),
('ambo Aye', 'Pucok Alue'),
('ambo Aye', 'Matang Serdang'),
('ambo Aye', 'Matang Santot'),
('ambo Aye', 'Buket Padang'),
('ambo Aye', 'Matang Seuke Pulot'),
('ambo Aye', 'Lhok Beuringen'),
('ambo Aye', 'Lueng Tuha'),
('ambo Aye', 'Matang Raya'),
('ambo Aye', 'Tanjong Ceungai'),
('ambo Aye', 'Teupin Bayu'),
('ambo Aye', 'Meunasah Panton Labu'),
('ambo Aye', 'Kota Panton Labu'),
('ambo Aye', 'Rawang Itek'),
('ambo Aye', 'Samakurok'),
('ambo Aye', 'Biara Barat'),
('ambo Aye', 'Biara Timur'),
('ambo Aye', 'Matang Drien'),
('ambo Aye', 'Ceumpeudak'),
('ambo Aye', 'Alue Papeun'),
('ambo Aye', 'Lhok Bintang Hu'),
('ambo Aye', 'Biram Rayeuk'),
('ambo Aye', 'Cot Biek'),
('ambo Aye', 'Matang Arongan'),
('ambo Aye', 'Biram Cut'),
('ambo Aye', 'Buket Batee Badan'),
('ambo Aye', 'Ulee Glee'),


('Sawang', 'Lagang'),
('Sawang', 'Abeuk Reuling'),
('Sawang', 'Lhok Krek'),
('Sawang', 'Lhok Merbo'),
('Sawang', 'Gle Dagang'),
('Sawang', 'Kuta Meuligoe'),
('Sawang', 'Gampong Teungoh'),
('Sawang', 'Babah Buloh'),
('Sawang', 'Meunasah  Pulo'),
('Sawang', 'Punteuet'),
('Sawang', 'Pante Jaloh'),
('Sawang', 'Lhok Kuyun'),
('Sawang', 'Blang Reuling'),
('Sawang', 'Lhok Gajah'),
('Sawang', 'Teupin Rusep'),
('Sawang', 'Ulee Geudong'),
('Sawang', 'Tanjong Keumala'),
('Sawang', 'Cot Kumuneng'),
('Sawang', 'Cot Lambideng'),
('Sawang', 'Paya Gaboh'),
('Sawang', 'Paya Rabo Lhok'),
('Sawang', 'Paya Rabo Timu'),
('Sawang', 'Lancok'),
('Sawang', 'Rambong Payong'),
('Sawang', 'Lhok Bayu'),
('Sawang', 'Krueng Baro'),
('Sawang', 'Babah Krueng'),
('Sawang', 'Jurong'),
('Sawang', 'Blang Manyak'),
('Sawang', 'Lhok Jok'),
('Sawang', 'Blang Teurakan'),
('Sawang', 'Sawang'),
('Sawang', 'Riseh Baroh'),
('Sawang', 'Riseh Teungoh'),
('Sawang', 'Riseh Tunong'),
('Sawang', 'Gunci'),
('Sawang', 'Kubu'),
('Sawang', 'Blang Cut'),
('Sawang', 'Lhok Cut'),


('Nisam', 'Paloh Mambu'),
('Nisam', 'Blang Karieng'),
('Nisam', 'Paloh Kayee Kunyet'),
('Nisam', 'Gampong Barat'),
('Nisam', 'Meunasah  Beunot'),
('Nisam', 'Seuneubok'),
('Nisam', 'Cot Leupee'),
('Nisam', 'Gampong Teungoh'),
('Nisam', 'Meunasah  Meucat'),
('Nisam', 'Meunasah  Alue'),
('Nisam', 'Panton'),
('Nisam', 'Paloh Mampree'),
('Nisam', 'Peunayan'),
('Nisam', 'Tingkeum'),
('Nisam', 'Meunasah  Rayeuk'),
('Nisam', 'Meunasah  Cut'),
('Nisam', 'Jeulikat'),
('Nisam', 'Alue Bili'),
('Nisam', 'Cot Mambong'),
('Nisam', 'Blang Dalam Geunteng'),
('Nisam', 'Blang Dalam Tunong'),
('Nisam', 'Blang Dalam Baroh'),
('Nisam', 'Cot Mee'),
('Nisam', 'Cot Euntung'),
('Nisam', 'Blang Crok'),
('Nisam', 'Meunasah Krueng'),
('Nisam', 'Binjee'),
('Nisam', 'Keutapang'),
('Nisam', 'Ulee Blang'),

('Cot Girek', 'Cot Girek'),
('Cot Girek', 'Lhok Meurbo'),
('Cot Girek', 'Kp. Bantan'),
('Cot Girek', 'Alue Seumambu'),
('Cot Girek', 'Ulee Gampong'),
('Cot Girek', 'Batu XII'),
('Cot Girek', 'Kp. Tempel'),
('Cot Girek', 'Alue Leuhob'),
